word	other_form	surface_form	direction	freq	pmi	example_sentence
huono	olla	on huono	L	25266	1.7770	Sinulla on huono vaikutus minuun .
huono	olla	on huono	L	25266	1.7770	Niin , ajoituksemme on huono .
huono	olla	on huono	L	25266	1.7770	Se on huono juttu , ... ?
huono	olla	on huono	L	25266	1.7770	Kättely on huono juttu .
huono	olla	on huono	L	25266	1.7770	Nyt on huono aika .
huono	olla	on huono	L	25266	1.7770	teillä on huono kuulo .
huono	olla	on huono	L	25266	1.7770	Ahneus on huono isäntä .
huono	olla	on huono	L	25266	1.7770	se on huono juttu .
huono	olla	on huono	L	25266	1.7770	Paikka on huono .
huono	olla	on huono	L	25266	1.7770	Se on huono hetki .
huono	olla	on huono	L	25266	1.7770	Minulla on huono tunne tästä
huono	olla	on huono	L	25266	1.7770	Hän sanoo sinua säädyttömäksi , sinulla on huono vaikutus .
huono	olla	on huono	L	25266	1.7770	Minulla on huono jalka .
huono	olla	on huono	L	25266	1.7770	Minulla on huono evä .
huono	olla	on huono	L	25266	1.7770	Sinulla on huono tuuri .
huono	olla	on huono	L	25266	1.7770	Tämä on huono juttu .
huono	olla	on huono	L	25266	1.7770	Joillakin on huono tuuri , kaveri .
huono	olla	on huono	L	25266	1.7770	Tämä on huono kuvakulma .
huono	olla	on huono	L	25266	1.7770	Minulla on huono olo .
huono	olla	on huono	L	25266	1.7770	Kuntomme on huono , se on ok.
huono	uutinen	huonoja uutisia	R	6241	6.2844	Ikävää kertoa huonoja uutisia , olet hakoteillä .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Sen pitää tulla pian , olemme saaneet huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Tulin tänne tarkistamaan bussia minulla taitaa olla huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	On inhottavaa kertoa huonoja uutisia hyville ihmisille .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Kuulin huonoja uutisia Amerikasta .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Führer tahtoo sen kokoelmiinsa , minulla on huonoja uutisia
huono	uutinen	huonoja uutisia	R	6241	6.2844	Minulla on huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Ei kai huonoja uutisia ?
huono	uutinen	huonoja uutisia	R	6241	6.2844	Minulla on huonoja uutisia sinulle .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Minulla on hyviä uutisia ... huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Tuli vähän huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Minun on kerrottava sinulle melko huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	On hyviä huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Meillä on huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Pelkäänpä , minulla on huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Tarjolla on hyviä huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Saimme huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Minulla on hyviä huonoja uutisia .
huono	uutinen	huonoja uutisia	R	6241	6.2844	Saitko huonoja uutisia ?
