word	other_form	surface_form	direction	freq	pmi	example_sentence
uusi	olla	on uusi	L	26718	0.8179	Tämä on uusi maailma .
uusi	elämä	uuden elämän	R	3756	3.2789	Näimme uuden elämän alkavan .
uusi	ystävä	uusia ystäviä	R	3258	3.0711	Olen etsimässä uusia ystäviä .
uusi	etsiä	etsiä uutta	L	2781	2.9217	Minun olisi pitänyt etsiä uutta asuntoa riidellä vakuutusyhtiöni kanssa .
uusi	löytää	löytänyt uuden	L	2518	2.3831	Teräsmies on löytänyt uuden naisen .
uusi	ostaa	ostaa uuden	L	2347	3.5434	Joten kerro äidille , pakkaa laukkunsa ostaa uuden uimapuvun , vien teidät jouluksi Hawaijille .
uusi	maailma	uuden maailman	R	2256	3.1750	Voimme rakentaa uuden maailman .
uusi	vuosi	uutta vuotta	R	2212	2.3645	Hyvää uutta vuotta , herra
uusi	ottaa	otetaan uusiksi	L	2156	1.7815	Otetaan uusiksi vartin kuluttua .
uusi	tehdä	tehdä uuden	L	2057	0.5851	Haluatko tehdä uuden haun ?
uusi	aloittaa	aloittaa uuden	L	2041	3.3422	Voimme aloittaa uuden elämän .
uusi	tulla	tulee uusi	L	1939	0.6614	Tästä tulee uusi kotini , tulen asumaan tänne .
uusi	auto	uuden auton	R	1875	2.5730	Gestapo saa aina uuden auton Berliinistä
uusi	alku	uusi alku	R	1730	4.0676	Minä olen uusi alku !
uusi	työ	uuden työn	R	1696	2.1201	Autamme heitä löytämään uuden työn Johnsonilta muualta
uusi	haluta	haluan uuden	L	1677	0.5226	Haluan uuden oikeudenkäynnin .
uusi	tieto	uutta tietoa	R	1644	3.1199	Saimme uutta tietoa joukkojenkuljetuslaivoista .
uusi	koti	uuden kodin	R	1605	2.5842	Titan on mahdollisuutemme uuden kodin löytämiseksi .
uusi	mies	uusi mies	R	1598	1.5213	Wendyn uusi mies on älykäs .
uusi	hankkia	hankkia uusi	L	1551	3.7457	Luulen , sinulle pitäisi hankkia uusi ase .
uusi	aivan	aivan uusi	L	1543	2.4397	Tarvitsen aivan uudet vaatteet , olen aivan uusi nainen
uusi	tyttö	uusi tyttö	R	1346	2.1909	Freddyn uusi tyttö .
uusi	hyvä	hyvää uutta	L	1337	0.4888	Hyvää uutta vuotta , herra
uusi	kaveri	uusi kaveri	R	1248	2.5875	Se oli uusi kaveri .
uusi	luoda	luoda uuden	L	1069	3.5616	Koko ajan väkeni yritti luoda uuden tyyppistä vampyyria , sellainen oli jo olemassa .
uusi	paikka	uusi paikka	R	1064	1.7979	. kadulla on uusi paikka .
uusi	päivä	uusi päivä	R	1038	1.5754	Tämä päivä on uusi päivä .
uusi	ihminen	uusia ihmisiä	R	1032	1.5669	Mahdollisuus juhlia tavata uusia ihmisiä pienenee koko ajan .
uusi	mahdollisuus	uuden mahdollisuuden	R	1023	3.2972	Tarvitsette uuden mahdollisuuden .
uusi	täällä	uusi täällä	R	999	0.7524	Oletko uusi täällä ?
uusi	aika	uuden ajan	R	985	0.8759	nyt kylmä sota on vihdoin ohi , Berliiniläiset julistavat uuden ajan täällä missä suurvaltojen tankit kohtasivat kommunismin pimeimpänä aikana-
uusi	nimi	uuden nimen	R	973	1.7204	Annamme teille uuden nimen , uuden syntymäajan uuden tilaisuuden .
uusi	viesti	uusi viesti	R	967	3.2292	Sinulle on yksi uusi viesti .
uusi	juttu	uusi juttu	R	958	2.0128	Minulla on tällainen uusi juttu .
uusi	nähdä	nähdä uuden	L	955	0.6337	Halusin nähdä uuden talon .
uusi	rakentaa	rakentaa uuden	L	941	3.5402	Voimme rakentaa uuden maailman .
uusi	keksiä	keksiä uusi	L	932	3.0666	Sinun pitäisi keksiä uusi nimi .
uusi	tapa	uudella tavalla	R	931	2.3091	Ehkä meidän olisi aika osoittaa tunteemme uudella tavalla .
uusi	antaa	antaa uuden	L	915	0.6486	Voi antaa uuden tarkoituksen elämääsi .
uusi	tavata	tavata uusia	L	906	1.7137	Mahdollisuus juhlia tavata uusia ihmisiä pienenee koko ajan .
uusi	taas	taas uusi	L	885	2.1755	Taas uusi virhe .
uusi	vaate	uusia vaatteita	R	858	3.4908	Osta uusia vaatteita .
uusi	talo	uuden talon	R	855	2.2691	Halusin nähdä uuden talon .
uusi	ihan	ihan uusi	L	849	1.8740	lsäukollasi on ihan uusi tyyli .
uusi	suunnitelma	uusi suunnitelma	R	843	3.0288	... uusi suunnitelma .
uusi	johtaja	uusi johtaja	R	834	3.3432	Meillä on uusi johtaja .
uusi	jäsen	uusia jäseniä	R	829	4.1488	Sinne ei oteta uusia jäseniä .
uusi	kirja	uutta kirjaa	R	817	3.0735	Valmistelen uutta kirjaa .
uusi	asia	uusia asioita	R	788	0.9063	John halusi koittaa uusia asioita .
uusi	tulokas	uusi tulokas	R	773	6.0030	Olen osastonne uusi tulokas , Jerry Lambert .
